OpCode,Frame,Time first seen (mins),TapeReader,Depth,Family,Genus,Species,Code,Stage
FP_201_ASH055,13349,7.4235,"CWS, BV",25 m,Lethrinidae,Lethrinus,semicinctus,37351016,J
FP_201_ASH055,29627,16.4759,"CWS, BV",25 m,Lutjanidae,Aprion,virescens,37346027,AD
FP_201_ASH055,16420,9.1314,"CWS, BV",25 m,Serranidae,Epinephelus,maculatus,37311011,AD
FP_201_ASH056,61612,34.2632,CWS,18,Carangidae,Carangoides,orthogrammus,37337057,AD
FP_201_ASH056,12889,7.1677,CWS,18,Carangidae,Caranx,melampygus,37337050,AD
FP_201_ASH056,61855,34.3983,CWS,18,Carangidae,Gnathanodon,speciosus,37337012,AD
FP_201_ASH056,64487,35.862,CWS,18,Carcharhinidae,Triaenodon,obesus,37018038,AD
FP_201_ASH056,5788,3.2188,CWS,18,Cheloniidae,,sp,,AD
FP_201_ASH056,84358,46.9125,CWS,18,Dasyatidae,Himantura,fai,37035024,AD
FP_201_ASH056,27476,15.2797,CWS,18,Lethrinidae,Lethrinus,microdon,37351011,AD
FP_201_ASH056,11742,6.5299,CWS,18,Lethrinidae,Monotaxis,grandoculis,37351026,AD
FP_201_ASH056,27476,15.2797,CWS,18,Lutjanidae,Lutjanus,bohar,37346029,AD
FP_201_ASH056,22935,12.7544,CWS,18,Lutjanidae,Lutjanus,bohar,37346029,J
FP_201_ASH056,5446,3.0286,CWS,18,Lutjanidae,Lutjanus,decussatus,37346041,AD
FP_201_ASH056,3750,2.0854,CWS,18,Lutjanidae,Lutjanus,quinquelineatus,37346006,AD
FP_201_ASH056,111410,61.9564,CWS,18,Muraenidae,Gymnothorax,sp,,AD
FP_201_ASH056,28511,15.8553,CWS,18,Serranidae,Cephalopholis,urodeta,37311142,AD
FP_201_ASH056,82477,45.8664,CWS,18,Serranidae,Plectropomus,laevis,37311079,AD
FP_201_ASH056,17126,9.524,CWS,18,Serranidae,Plectropomus,maculatus,37311012,AD
FP_201_ASH059,46944,26.1061,"CWS, BV",30,Dasyatidae,Pastinachus,sephen,37035011,M
FP_201_ASH059,10560,5.8725,"CWS, BV",30,Lethrinidae,Gymnocranius,grandoculis,37351005,AD
FP_201_ASH059,7467,4.1525,"CWS, BV",30,Lethrinidae,Lethrinus,rubrioperculatus,37351012,AD
FP_201_ASH059,9223,5.129,"CWS, BV",30,Lutjanidae,Lutjanus,vitta,37346003,J
FP_201_ASH064,37126,20.6462,CWS,7.9,Carangidae,Carangoides,orthogrammus,37337057,AD
